pair,score,pct24,usd_vol,ema_slope
KOBAN/USD,54.385,53.50,125911,0.0050
CHILLHOUSE/USD,34.520,34.81,55489,-0.0114
PHA/USD,34.386,28.97,213391,0.0870
SCRT/USD,32.217,27.28,2432611,-0.0013
SOON/USD,25.407,23.95,470276,-0.0179
ICP/USD,22.120,18.17,33373373,-0.0211
FIL/USD,19.728,14.73,24786862,-0.0001
CFG/USD,19.486,18.49,172660,0.0026
H/USD,16.052,11.25,1036338,-0.0040
BDXN/USD,14.084,14.12,155013,-0.0161
